latitude,longitude,altitude,geometry,previous_dominating_activity,bearing,previous_dominating_activity_confidence,current_dominating_activity,timestamp,created_at,feature,id,speed,route,current_dominating_activity_confidence,accuracy
-6.8224933,39.2796017,,Point,still,0,60,in_vehicle,2015-11-11T09:03:01+0300,2015-11-11 06:03:12,passive_tracking,4,0,,77,23
-6.8224933,39.2796017,,Point,still,0,60,in_vehicle,2015-11-11T09:03:01+0300,2015-11-11 06:03:13,passive_tracking,9,0,,77,23
-6.7957683,39.1382333,,Point,on_foot,261,100,in_vehicle,2015-11-12T06:02:57+03:00,2015-11-12 03:11:34,passive_tracking,10,261,,56,15.2
-6.7911933,39.1392216,,Point,in_vehicle,147,77,,2015-11-12T06:04:31+03:00,2015-11-12 03:11:34,passive_tracking,11,147,,0,4.9
-6.7913066,39.1462299,,Point,in_vehicle,101,46,,2015-11-12T06:08:52+03:00,2015-11-12 03:11:34,passive_tracking,13,101,,0,14
-6.787305,39.1572449,,Point,in_vehicle,71,92,still,2015-11-12T06:11:23+03:00,2015-11-12 03:11:34,passive_tracking,14,71,,44,3.9
-6.787085,39.157875,,Point,still,71,85,in_vehicle,2015-11-12T06:12:58+03:00,2015-11-12 03:25:44,passive_tracking,15,71,,54,4.7
-6.78928,39.18774,,Point,in_vehicle,2,92,on_bicycle,2015-11-12T06:24:02+03:00,2015-11-12 03:25:44,passive_tracking,18,2,,33,9.9
-6.7861733,39.1901616,,Point,in_vehicle,62,41,on_bicycle,2015-11-12T06:26:23+03:00,2015-11-12 03:40:00,passive_tracking,20,62,,28,10.9
-6.7792666,39.19973,,Point,still,128,60,in_vehicle,2015-11-12T06:34:01+03:00,2015-11-12 03:40:00,passive_tracking,21,128,,49,6.1
-6.7877916,39.2085383,,Point,in_vehicle,152,67,still,2015-11-12T06:39:52+03:00,2015-11-12 03:40:00,passive_tracking,24,152,,71,3.9
-6.78796,39.2086799,,Point,still,139,100,in_vehicle,2015-11-12T06:41:18+03:00,2015-11-12 03:54:44,passive_tracking,25,139,,69,5.5
-6.7644933,39.2292383,,Point,in_vehicle,113,100,still,2015-11-12T06:47:46+03:00,2015-11-12 03:54:44,passive_tracking,27,113,,100,4.1
-6.76578,39.231255,,Point,still,130,100,in_vehicle,2015-11-12T06:50:16+03:00,2015-11-12 03:54:44,passive_tracking,28,130,,100,23.1
-6.7711599,39.2381733,,Point,in_vehicle,123,64,still,2015-11-12T06:54:34+03:00,2015-11-12 03:54:44,passive_tracking,29,123,,79,5.4
